File	GenProg Repair Status without PREP	GenProg Repair Status with PREP	Category
temp-186-A-bug-15282162-15282195	Repair Found	Repair Found	1
temp-186-A-bug-18230196-18230218	Repair Found	Repair Found	1
temp-189-A-bug-16864116-16864194	Repair Found	Repair Found	1
temp-189-A-bug-17294544-17294560	Repair Found	Repair Found	1
temp-189-A-bug-18155547-18155577	Repair Found	Repair Found	1
temp-189-B-bug-17295034-17295064	Repair Found	Repair Found	1
temp-189-B-bug-1925465-1925790	Repair Found	Repair Found	1
temp-18-A-bug-15987401-15987453	Repair Found	Repair Found	1
temp-192-B-bug-15173156-15173181	Repair Found	Repair Found	1
temp-192-B-bug-15173161-15173181	Repair Found	Repair Found	1
temp-192-B-bug-15173175-15173181	Repair Found	Repair Found	1
temp-192-B-bug-15217694-15217714	Repair Found	Repair Found	1
temp-192-C-bug-1743547-1743565	Repair Found	Repair Found	1
temp-192-C-bug-1764940-1764944	Repair Found	Repair Found	1
temp-194-D-bug-1761507-1761527	Repair Found	Repair Found	1
temp-195-B-bug-9094006-9094163	Repair Found	Repair Found	1
temp-195-C-bug-1782661-1782668	Repair Found	Repair Found	1
temp-195-C-bug-3767393-3767400	Repair Found	Repair Found	1
temp-197-A-bug-11255488-11255570	Repair Found	Repair Found	1
temp-197-A-bug-4169281-4169297	Repair Found	Repair Found	1
temp-197-B-bug-13477022-13477396	Repair Found	Repair Found	1
temp-197-B-bug-18221952-18221968	Repair Found	Repair Found	1
temp-197-B-bug-3726950-3726956	Repair Found	Repair Found	1
temp-197-B-bug-3733432-3733445	Repair Found	Repair Found	1
temp-19-A-bug-14626414-14626510	Repair Found	Repair Found	1
temp-202-A-bug-1864388-1905671	Repair Found	Repair Found	1
temp-202-A-bug-1938570-1938571	Repair Found	Repair Found	1
temp-202-B-bug-1844341-1844420	Repair Found	Repair Found	1
temp-202-B-bug-1874146-1874164	Repair Found	Repair Found	1
temp-202-C-bug-1847611-1847612	Repair Found	Repair Found	1
temp-203-A-bug-16588171-16589375	Repair Found	Repair Found	1
temp-203-A-bug-8218947-8218974	Repair Found	Repair Found	1
temp-203-B-bug-1854178-1854446	Repair Found	Repair Found	1
temp-203-B-bug-2468165-2468174	Repair Found	Repair Found	1
temp-203-C-bug-4430831-4430834	Repair Found	Repair Found	1
temp-208-A-bug-17292049-17292076	Repair Found	Repair Found	1
temp-208-A-bug-18110250-18110255	Repair Found	Repair Found	1
temp-208-A-bug-18260832-18260860	Repair Found	Repair Found	1
temp-208-A-bug-18351096-18351104	Repair Found	Repair Found	1
temp-208-D-bug-11938998-11939000	Repair Found	Repair Found	1
temp-208-D-bug-11939026-11939031	Repair Found	Repair Found	1
temp-20-A-bug-11539469-11539492	Repair Found	Repair Found	1
temp-20-C-bug-12438298-12438405	Repair Found	Repair Found	1
temp-214-A-bug-15257318-15257535	Repair Found	Repair Found	1
temp-214-A-bug-16587662-16587713	Repair Found	Repair Found	1
temp-214-A-bug-18162404-18162485	Repair Found	Repair Found	1
temp-214-B-bug-4068083-4068178	Repair Found	Repair Found	1
temp-215-A-bug-10397040-10397149	Repair Found	Repair Found	1
temp-215-A-bug-16392284-16392323	Repair Found	Repair Found	1
temp-215-A-bug-2550572-2550598	Repair Found	Repair Found	1
temp-215-A-bug-4160675-4160686	Repair Found	Repair Found	1
temp-215-A-bug-4400176-4400183	Repair Found	Repair Found	1
temp-215-A-bug-4783146-4783326	Repair Found	Repair Found	1
temp-215-A-bug-5412804-5412807	Repair Found	Repair Found	1
temp-215-A-bug-9341082-9341110	Repair Found	Repair Found	1
temp-216-B-bug-2008634-2009138	Repair Found	Repair Found	1
temp-218-A-bug-2049468-2049470	Repair Found	Repair Found	1
temp-218-B-bug-6098109-6098129	Repair Found	Repair Found	1
temp-218-C-bug-5956612-5956697	Repair Found	Repair Found	1
temp-219-A-bug-15458442-15458463	Repair Found	Repair Found	1
temp-219-A-bug-17460365-17460407	Repair Found	Repair Found	1
temp-219-C-bug-15077210-15077243	Repair Found	Repair Found	1
temp-21-A-bug-14636736-14636776	Repair Found	Repair Found	1
temp-21-A-bug-15962224-15962305	Repair Found	Repair Found	1
temp-21-A-bug-15962256-15962305	Repair Found	Repair Found	1
temp-21-A-bug-1810450-1810456	Repair Found	Repair Found	1
temp-21-A-bug-2037389-2037565	Repair Found	Repair Found	1
temp-21-A-bug-2037554-2037565	Repair Found	Repair Found	1
temp-21-A-bug-809121-809144	Repair Found	Repair Found	1
temp-221-B-bug-3805733-3805812	Repair Found	Repair Found	1
temp-221-B-bug-3805744-3805812	Repair Found	Repair Found	1
temp-222-A-bug-17372902-17372926	Repair Found	Repair Found	1
temp-222-B-bug-2300997-2301001	Repair Found	Repair Found	1
temp-225-A-bug-2222124-2222142	Repair Found	Repair Found	1
temp-225-A-bug-2227511-2227557	Repair Found	Repair Found	1
temp-225-A-bug-2245885-2245982	Repair Found	Repair Found	1
temp-225-A-bug-2291733-2291785	Repair Found	Repair Found	1
temp-225-A-bug-3803314-3803331	Repair Found	Repair Found	1
temp-225-A-bug-4167347-4167456	Repair Found	Repair Found	1
temp-227-A-bug-4436784-4436812	Repair Found	Repair Found	1
temp-228-A-bug-17177587-17196475	Repair Found	Repair Found	1
temp-228-A-bug-17396874-17396905	Repair Found	Repair Found	1
temp-228-A-bug-18047603-18047609	Repair Found	Repair Found	1
temp-228-A-bug-18063728-18063771	Repair Found	Repair Found	1
temp-229-D-bug-2307237-2307253	Repair Found	Repair Found	1
temp-22-A-bug-6484456-6484466	Repair Found	Repair Found	1
temp-22-B-bug-1405962-1406005	Repair Found	Repair Found	1
temp-22-B-bug-96476-96477	Repair Found	Repair Found	1
temp-22-D-bug-17912738-17912936	Repair Found	Repair Found	1
temp-230-A-bug-17966959-17967012	Repair Found	Repair Found	1
temp-230-A-bug-18123389-18123399	Repair Found	Repair Not Found	3
temp-230-E-bug-2289394-2289397	Repair Found	Repair Found	1
temp-231-A-bug-18035971-18035981	Repair Found	Repair Found	1
temp-231-B-bug-10768047-10774768	Repair Found	Repair Found	1
temp-231-D-bug-2317412-2317509	Repair Found	Repair Found	1
temp-234-A-bug-2425047-2425051	Repair Found	Repair Found	1
temp-235-A-bug-13074317-13074342	Repair Found	Repair Found	1
temp-236-A-bug-18003726-18007529	Repair Found	Repair Found	1
temp-236-A-bug-18003976-18004085	Repair Found	Repair Found	1
temp-236-A-bug-18007495-18007529	Repair Found	Repair Found	1
temp-236-A-bug-18338107-18338153	Repair Found	Repair Found	1
temp-237-A-bug-17550164-17550197	Repair Found	Repair Found	1
temp-237-A-bug-18222522-18222549	Repair Found	Repair Found	1
temp-237-B-bug-2436036-2436037	Repair Found	Repair Found	1
temp-239-B-bug-2503429-2503874	Repair Found	Repair Found	1
temp-242-B-bug-9945887-9945915	Repair Found	Repair Found	1
temp-245-A-bug-14699193-14699206	Repair Found	Repair Found	1
temp-245-B-bug-15450004-15450022	Repair Found	Repair Found	1
temp-245-E-bug-10540276-10540280	Repair Found	Repair Found	1
temp-245-E-bug-13482446-13482472	Repair Found	Repair Found	1
temp-246-A-bug-4758567-4758584	Repair Found	Repair Found	1
temp-246-A-bug-6327105-6327112	Repair Found	Repair Found	1
temp-246-A-bug-6925027-6925047	Repair Found	Repair Found	1
temp-246-A-bug-7343710-7343728	Repair Found	Repair Found	1
temp-24-A-bug-12976557-12976709	Repair Found	Repair Found	1
temp-24-A-bug-3414599-3414606	Repair Found	Repair Found	1
temp-252-A-bug-13131259-13131276	Repair Found	Repair Found	1
temp-252-A-bug-9396191-9396194	Repair Found	Repair Found	1
temp-252-A-bug-9398920-9398927	Repair Found	Repair Found	1
temp-255-A-bug-15849278-15849289	Repair Found	Repair Found	1
temp-255-A-bug-17074938-17074986	Repair Found	Repair Found	1
temp-255-A-bug-18130705-18130717	Repair Found	Repair Found	1
temp-257-A-bug-17975370-17975380	Repair Found	Repair Found	1
temp-257-A-bug-2955270-2955271	Repair Found	Repair Found	1
temp-257-A-bug-3069844-3069860	Repair Found	Repair Found	1
temp-257-A-bug-4070019-4070055	Repair Found	Repair Found	1
temp-257-B-bug-4304863-4304870	Repair Found	Repair Found	1
temp-259-A-bug-10272005-10272065	Repair Found	Repair Found	1
temp-259-A-bug-10272058-10272065	Repair Found	Repair Found	1
temp-259-A-bug-15985457-15985487	Repair Found	Repair Found	1
